FNR,STATUS,NAME,SITZ,RECHTSFORM_CODE,RECHTSFORM_TEXT,GERICHT_CODE,GERICHT_TEXT
289864x,,Aaron Eventmanagement GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
264611i,,Aaron Holding GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
356009v,,AaroSa Objektbetreuungs und -verwertungs GesmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
404375w,gelöscht,AARTI GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
222488p,gelöscht,A.A.S. Handels GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
476240d,gelöscht,AAS Installationen GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
197787p,,AAS Liegenschaftsverwaltungs GmbH.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
040258d,gelöscht,A.A.S.G. Handels-Ges.m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
052264i,gelöscht,AAST Warenhandelsgesellschaft m.b.H. in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
237332v,gelöscht,Aastra Telecom GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
266584k,,AASU Schulung- & Beratung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
141931y,gelöscht,A&AT Anlagentechnik und Abwasser- technik Produktionsgesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
167436f,gelöscht,AAT Computerhandelsgesellschaft mbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
413372a,gelöscht,AAT Project Solutions GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
063886a,gelöscht,AAT Trading Handel GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
448077m,,A.Aurohom Gastronomiebetriebs GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
308744k,gelöscht,"AAW AQUA AIRSEC Mauertrockenlegung, Entfeuchtungstechnik u. Bauheizung",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
506174z,,AAW Immobilien GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
222204x,gelöscht,AAX Beteiligungs GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
251943f,,AAX Immobilienholding GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
049103k,gelöscht,"""Aaxel"" Bau- und Kunstschlosserei Gesellschaft m.b.H.",Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
436927s,,AAZ GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
575480w,,AAZ9 GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
592319h,,AA131 Projekt GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
593810a,,AA132 Projekt GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
052141d,,AB - Mobile & Immobilien GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
636176d,,AB Abdichtungstechnik GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
436415m,gelöscht,AB Abfallbewirtschaftung ZUMA Wien GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,638,Landesgericht für ZRS Graz
082161a,gelöscht,AB Arbeitnehmer-Unterstützungs GmbH in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
125961m,gelöscht,ab Atelier Sator Werbegrafik Gesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
294845x,gelöscht,A&B AutohandelsgesmbH in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
482147s,,AB Automobile Service GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
550369t,,AB Automotive Beteiligungen GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
094931f,gelöscht,AB Bau- und Installations- gesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
205804d,gelöscht,A.B. Baureinigungs GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
490618y,gelöscht,AB Beauty Handels GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
123552w,gelöscht,AB Brot-Vertriebs GmbH in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
075836z,gelöscht,AB Computergesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
056500p,gelöscht,AB Druckhaus GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
157081b,gelöscht,AB Elektroinstallationen Ges.m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
279986w,gelöscht,AB Energy Drink Produktion GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
362413k,,AB Fahrzeughandel und Vermietung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
228251p,gelöscht,AB Food & Beverages GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
094133g,gelöscht,AB Frischbeton Gesellschaft m.b.H. in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
324576v,,AB GSMshop.at GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
434306k,,A+B HOFER Immobilien GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
524375s,,AB InBev Austria GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
470342f,,''Ab ins Grüne'' Bauträger GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
478229d,,AB Internationale Steuerberatung Verwaltung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
046922d,,AB Leasing GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
190323m,gelöscht,AB Lichttechnik GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
303207v,,AB Liegenschaftsverwertung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
041055a,gelöscht,A.B. Liegenschaftsverwertungs Gesellschaft m.b.H. in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
330244d,gelöscht,AB Logistik AV GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
341345d,gelöscht,AB Luftfahrtbeteiligung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
144731s,gelöscht,AB Management Consulting GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
602020z,,AB MAY GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
591008f,,AB Narkoseservice Vermittlung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
475472z,,AB Objekt GmbH in Liquidation,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
633145x,,AB Projekte alpha GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
519295w,,A+B Projektentwicklung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
441309i,gelöscht,AB Rail Systems GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
334148w,,AB Sciex Austria GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
064152t,gelöscht,AB Soft Handelsgesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
305514k,gelöscht,AB SPORT Beteiligungs GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
354753x,,A+B Steuerberatung GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
343176x,gelöscht,AB VIP Limousine Vienna Mietwagen GmbH in Liqu.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
093619a,gelöscht,Aba - Restaurant Gesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
108769f,gelöscht,ABA Ablagesysteme Gesellschaft m.b.H.,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
464192k,gelöscht,ABA Adam GmbH,Wien,GES,Gesellschaft mit beschränkter Haftung,007,Handelsgericht Wien
